Epoch,Training Error,Training Loss,Validation Error,Validation Loss
1,77.48231712776435,1.7372870752228176,71.26168224299066,1.6843463447358873
2,71.30450353657444,1.6494716464705734,71.96261682242991,1.6604255923518427
3,63.45241292864178,1.505805877997981,71.41744548286604,1.6661756818677171
4,52.726295997851196,1.2870786196854664,73.20872274143302,1.943018894136688
5,38.517324738114425,0.9839940796764794,72.0404984423676,2.2293521695666842
6,27.101799623959167,0.7192579159494463,71.72897196261682,2.5724317159181758
7,17.647058823529406,0.4894056272758264,72.35202492211837,2.9472598028771673
