Epoch,Training Error,Training Loss,Validation Error,Validation Loss
1,78.27441815171876,1.7409575932493835,74.76635514018692,1.7104903753892875
2,71.83756938358165,1.652739483062352,72.50778816199377,1.695091332918332
3,59.148894731716815,1.4402754352285854,72.42990654205607,1.7318914451716858
4,39.16642321550297,1.0068261835991037,72.35202492211837,2.176336497436335
5,19.7098062128737,0.5281576437069062,74.14330218068535,2.8123953180548584
